"filename", "language", "C", "C++", "YAML", "comment", "blank", "total"
"/Users/anguscheung/Desktop/UCL/C Coursework/Display.dSYM/Contents/Resources/Relocations/x86_64/Display.yml", "YAML", 0, 0, 35, 0, 1, 36
"/Users/anguscheung/Desktop/UCL/C Coursework/Snippet.c", "C", 58, 0, 0, 330, 33, 421
"/Users/anguscheung/Desktop/UCL/C Coursework/Stack.c", "C", 35, 0, 0, 0, 7, 42
"/Users/anguscheung/Desktop/UCL/C Coursework/Stack.h", "C++", 0, 15, 0, 0, 3, 18
"/Users/anguscheung/Desktop/UCL/C Coursework/Test.c", "C", 36, 0, 0, 47, 24, 107
"/Users/anguscheung/Desktop/UCL/C Coursework/background.c", "C", 81, 0, 0, 1, 12, 94
"/Users/anguscheung/Desktop/UCL/C Coursework/background.h", "C++", 0, 27, 0, 1, 6, 34
"/Users/anguscheung/Desktop/UCL/C Coursework/generator.c", "C", 54, 0, 0, 0, 10, 64
"/Users/anguscheung/Desktop/UCL/C Coursework/graphics.c", "C", 103, 0, 0, 0, 19, 122
"/Users/anguscheung/Desktop/UCL/C Coursework/graphics.h", "C", 20, 0, 0, 0, 7, 27
"/Users/anguscheung/Desktop/UCL/C Coursework/main.c", "C", 50, 0, 0, 0, 9, 59
"/Users/anguscheung/Desktop/UCL/C Coursework/robot.c", "C", 139, 0, 0, 22, 17, 178
"/Users/anguscheung/Desktop/UCL/C Coursework/robot.h", "C", 16, 0, 0, 0, 4, 20
"Total", "-", 592, 42, 35, 401, 152, 1222